category,quantity_kg,quality_score,season_factor,price_per_kg
Vegetables,50,90,1.1,28
Vegetables,100,85,1.0,25
Vegetables,200,70,0.9,20
Vegetables,300,60,0.8,17
Vegetables,20,95,1.2,32
Vegetables,500,55,0.85,15
Fruits,50,92,1.15,55
Fruits,150,80,1.0,45
Fruits,300,65,0.9,35
Fruits,30,96,1.2,65
Fruits,400,58,0.85,30
Grains,100,88,1.0,22
Grains,500,75,0.95,18
Grains,1000,60,0.9,15
Grains,50,93,1.05,26
Grains,2000,55,0.85,13
Pulses,100,90,1.05,80
Pulses,300,78,0.95,68
Pulses,50,95,1.1,90
Pulses,600,60,0.85,55
Spices,20,92,1.1,180
Spices,50,85,1.0,150
Spices,100,70,0.9,120
Spices,10,96,1.2,210
Dairy,20,95,1.0,45
Dairy,50,88,0.95,40
Dairy,100,80,0.9,35
